system.index,Approxim_1,Approximat,ID,Latitude,Location,Longitude,first,.geo,Date
1,3411.5,36721.386,2,40.8730741,Haffen Park,-73.8395939,41.38641761,"{""type"":""Point"",""coordinates"":[-73.83959207432633,40.87307450351036]}",Jul-15
0000000000000000002e,6758.25,72745.803,47,40.719804,East River Park Field 6,-73.9736965,41.48041316,"{""type"":""Point"",""coordinates"":[-73.97369507940766,40.71980182300026]}",Jul-15
0000000000000000004a,5827.473,62726.91937,75,40.7486311,Flushing Meadow Corona Park 1,-73.8408422,43.59445853,"{""type"":""Point"",""coordinates"":[-73.8408406226213,40.74862991131079]}",Jul-15
20,4896.696,52708.03574,33,40.6341429,Shore Road Park,-74.038126,37.7103371,"{""type"":""Point"",""coordinates"":[-74.0381246305289,40.63414249176357]}",Jul-15
10,4127.794,44431.57462,17,40.6126882,Dyker Beach Park 1 (LL),-74.0143937,39.87736178,"{""type"":""Point"",""coordinates"":[-74.01439329472247,40.61268975659544]}",Jul-15
44,2031.522,21867.30281,69,40.7217834,Sara D. Roosevelt Park (At Rivington and Stanton),-73.9915309,40.61907212,"{""type"":""Point"",""coordinates"":[-73.99153148362144,40.72178166386799]}",Jul-15
0000000000000000005b,9267.301,99753.22796,92,40.688243,Roy Wilkins Park 01,-73.7733251,NA,"{""type"":""Point"",""coordinates"":[-73.77332537357107,40.688244764845024]}",Jul-15
53,5301.382,57064.07585,84,40.6549455,Idlewild Park 01,-73.7540185,NA,"{""type"":""Point"",""coordinates"":[-73.75401746600966,40.654944198177894]}",Jul-15
31,2913.74,31363.49736,50,40.7973652,Frederick Douglass Plgd,-73.9673428,41.01043541,"{""type"":""Point"",""coordinates"":[-73.96734086040651,40.7973634267239]}",Jul-15
0000000000000000000f,9914.798,106722.8857,16,40.5741836,Coney Island Steeplechase Ballfield,-73.9837243,43.6235117,"{""type"":""Point"",""coordinates"":[-73.98372359767687,40.57418541899894]}",Jul-15
22,3686.686,39683.4881,35,40.6907445,Van Voorhees Park,-73.9993437,42.04096844,"{""type"":""Point"",""coordinates"":[-73.99934382866708,40.69074632053601]}",Jul-15
50,8215.119,88427.54092,81,40.7018835,"Forest Park Field 1, 4, 5",-73.8541889,NA,"{""type"":""Point"",""coordinates"":[-73.85418671207427,40.70188515496751]}",Jul-15
51,8215.119,88427.54092,82,40.701364,"Forest Park Field 1, 4, 5 (2)",-73.8525247,NA,"{""type"":""Point"",""coordinates"":[-73.85252346738133,40.70136344014426]}",Jul-15
0000000000000000000b,3783.811,40728.9416,12,40.6564704,Brownsville,-73.902085,43.51071704,"{""type"":""Point"",""coordinates"":[-73.90208637559039,40.656469210738166]}",Jul-15
39,7567.622,81457.88321,58,40.7828689,Randalls Island 75,-73.9280632,48.95733191,"{""type"":""Point"",""coordinates"":[-73.92806509832775,40.782866889199155]}",Jul-15
42,7567.622,81457.88321,67,40.8039219,Riverside Park @ 107th,-73.9713487,39.96452129,"{""type"":""Point"",""coordinates"":[-73.97134959225355,40.80392276437352]}",Jul-15
35,7405.747,79715.46071,54,40.7837929,Randalls Island 70,-73.9283359,47.33548142,"{""type"":""Point"",""coordinates"":[-73.92833710349201,40.78379438221827]}",Jul-15
0000000000000000004d,6474.97,69696.57708,78,40.7492553,Flushing Meadow Corona Park 5,-73.8365862,42.16401716,"{""type"":""Point"",""coordinates"":[-73.83658664021631,40.74925418545827]}",Jul-15
0000000000000000003a,5544.193,59677.69345,59,40.7839852,Randalls Island 82,-73.9340291,48.06010166,"{""type"":""Point"",""coordinates"":[-73.93402691643621,40.78398612356357]}",Jul-15
14,4775.291,51401.23232,21,40.662506,Hamilton-Metz Park,-73.9412648,40.48235132,"{""type"":""Point"",""coordinates"":[-73.94126403744595,40.662506833564535]}",Jul-15
5,9388.707,101060.0421,6,40.8700567,Pelham Bay Park,-73.7911901,35.90049551,"{""type"":""Point"",""coordinates"":[-73.79118853239117,40.870055692097175]}",Jul-15
0000000000000000004f,9388.707,101060.0421,80,40.7018835,Forest Park (Victory Field) 1,-73.8541889,NA,"{""type"":""Point"",""coordinates"":[-73.85418671207427,40.70188515496751]}",Jul-15
0000000000000000000c,3986.154,42906.96166,13,40.6951669,Bushwick Ballfield,-73.9180307,41.43939692,"{""type"":""Point"",""coordinates"":[-73.9180321209575,40.69516528967998]}",Jul-15
0000000000000000000d,3986.154,42906.96166,14,40.6976686,Bushwick Ballfield (2),-73.9170396,41.27191394,"{""type"":""Point"",""coordinates"":[-73.91703774142258,40.69766684537095]}",Jul-15
0000000000000000001e,8700.741,93654.77612,31,40.6510392,Parade Ground 11,-73.9660731,45.91700312,"{""type"":""Point"",""coordinates"":[-73.96607447570733,40.651038025655076]}",Jul-15
54,8700.741,93654.77612,85,40.719892,Juniper Valley Park (Brennan) 01,-73.8842651,46.5630089,"{""type"":""Point"",""coordinates"":[-73.88426334867975,40.71989100502133]}",Jul-15
27,3407.453,36677.82409,40,40.8008828,Booker T. Washington,-73.9636687,46.1186663,"{""type"":""Point"",""coordinates"":[-73.96366656113847,40.800881657455065]}",Jul-15
0000000000000000005c,5948.879,64033.73356,93,40.6656751,Southern Fields 01,-73.8270879,41.92133774,"{""type"":""Point"",""coordinates"":[-73.82708875497246,40.665677254413545]}",Jul-15
0000000000000000004b,5018.102,54014.84993,76,40.7473575,Flushing Meadow Corona Park 2,-73.8400339,42.35713529,"{""type"":""Point"",""coordinates"":[-73.84003352533063,40.747359067510565]}",Jul-15
52,7122.467,76666.23479,83,40.7560392,Hinton Park Fields 1 and 2,-73.8549347,42.29731994,"{""type"":""Point"",""coordinates"":[-73.85493584105124,40.756040937261616]}",Jul-15
