Location,ID
Bronx Park East,1
Haffen Park,2
John Mullaly Park (North),3
John Mullaly Park (South),4
Marble Hill Park,5
Pelham Bay Park,6
PS29 Melrose School,7
Seton Park Ballfield,8
St. Mary’s Park,9
West Bronx Recreation Center (Highbridge),10
Williamsbridge Oval,11
Brownsville,12
Bushwick Ballfield,13
Bushwick Ballfield (2),14
Cadman Plaza,15
Coney Island Steeplechase Ballfield,16
Dyker Beach Park 1 (LL),17
Dyker Beach Park 2 (LL),18
Dyker Beach Park 2 (Soccer),19
Ft. Hamilton HS Athletic Field,20
Hamilton-Metz Park,21
Kaiser Park,22
Linden (Gershwin) Park,23
McCarren Park,24
Mclaughlin Park,25
Parade Ground Field 4,26
Parade Ground Field 7,27
Parade Ground Field 8 ,28
Parade Ground Field 9,29
Parade Ground 10,30
Parade Ground 11,31
Red Hook Recreation Area,32
Shore Road Park,33
Stemberg Park Fields 1 and 2,34
Van Voorhees Park,35
William Grady HS (DOE),36
Al Smith,37
Annunciation Park,38
Baruch Park,39
Booker T. Washington,40
Buczek Ballfield,41
Buczek Ballfield (2),42
Columbus Park,43
East River Park Field 1,44
East River Park Field 2,45
East River Park Field 5,46
East River Park Field 6,47
East River Park Soccer Field,48
Eugene McCabe Field,49
Frederick Douglass Plgd,50
Harlem River Park Fields 1 and 2 (128th St.),51
J.J. Walker Park,52
Randalls Island 10 (Icahn Stadium),53
Randalls Island 70,54
Randalls Island 72,55
Randalls Island 73,56
Randalls Island 74,57
Randalls Island 75,58
Randalls Island 82,59
Randalls Island 83,60
Randalls Island 84,61
Randalls Island 85,62
Randalls Island 90,63
Randalls Island 91,64
Riverside Park @ 101st,65
Riverside Park @ 104th,66
Riverside Park @ 107th,67
Sara D. Roosevelt Park (At Broome and Grand Station),68
Sara D. Roosevelt Park (At Rivington and Stanton),69
Thomas Jefferson Park,70
Wagner Playground,71
Al Oerter (FMCP 8),72
Al Oerter (FMCP 9),73
Brookville Park,74
Flushing Meadow Corona Park 1,75
Flushing Meadow Corona Park 2,76
Flushing Meadow Corona Park 3,77
Flushing Meadow Corona Park 5,78
Flushing Meadow Corona Park 7,79
Forest Park (Victory Field) 1,80
"Forest Park Field 1, 4, 5",81
"Forest Park Field 1, 4, 5 (2)",82
Hinton Park Fields 1 and 2,83
Idlewild Park 01,84
Juniper Valley Park (Brennan) 01,85
Kissena Corridor 01,86
"Liberty Park (Detective Keith Williams) 01, 1",87
Linden Park (Queens),88
"Mafera Park 01, 1, 3",89
Raymond O’Connor Park 01,90
Reiff Park 1,91
Roy Wilkins Park 01,92
Southern Fields 01,93
"St. Michael’s Fields 01, 1",94
Blood Root Valley (Greenbelt),95
Bloomingdale Park,96
Bloomingdale Park (2),97
Midland Beach,98
