Station_ID,Date,Max Temp,Min Temp,Avg Temp,Precipitation,Max Temp C,Min Temp C,Avg Temp C
USW00014732,Jun-13,81.7,66.4,74,8.16,27.61111111,19.11111111,23.33333333
USW00014732,Jul-13,87.8,74.5,81.2,2.8,31,23.61111111,27.33333333
USW00014732,Aug-13,82.1,69.4,75.8,1.97,27.83333333,20.77777778,24.33333333
USW00014732,Jun-14,80,65,72.5,3.69,26.66666667,18.33333333,22.5
USW00014732,Jul-14,84.3,69.6,77,3.99,29.05555556,20.88888889,25
USW00014732,Aug-14,82.1,68.2,75.1,3.5,27.83333333,20.11111111,23.94444444
USW00014732,Jun-15,78.4,64.1,71.3,4.8,25.77777778,17.83333333,21.83333333
USW00014732,Jul-15,85.9,72.5,79.2,3.54,29.94444444,22.5,26.22222222
USW00014732,Aug-15,86.4,72.3,79.3,1.88,30.22222222,22.38888889,26.27777778
USW00014732,Jun-16,81.9,65.3,73.6,2.24,27.72222222,18.5,23.11111111
USW00014732,Jul-16,88.5,73.6,81.1,4.98,31.38888889,23.11111111,27.27777778
USW00014732,Aug-16,88.4,74.7,81.6,1.13,31.33333333,23.72222222,27.55555556
USW00014732,Jun-17,81.2,66,73.6,4.38,27.33333333,18.88888889,23.11111111
USW00014732,Jul-17,85.3,71,78.1,4.32,29.61111111,21.66666667,25.61111111
USW00014732,Aug-17,81.9,68.9,75.4,3.52,27.72222222,20.5,24.11111111
USW00014732,Jun-18,80.8,65.1,72.9,3.6,27.11111111,18.38888889,22.72222222
USW00014732,Jul-18,87.1,72.6,79.8,5.28,30.61111111,22.55555556,26.55555556
USW00014732,Aug-18,87.6,74.3,81,6.66,30.88888889,23.5,27.22222222
USW00014732,Jun-19,80.4,65.2,72.8,4.89,26.88888889,18.44444444,22.66666667
USW00014732,Jul-19,89.5,73.6,81.5,6.11,31.94444444,23.11111111,27.5
USW00014732,Aug-19,84.6,70.6,77.6,3.14,29.22222222,21.44444444,25.33333333
USW00014732,Jun-20,84,67.8,75.9,1.1,28.88888889,19.88888889,24.38888889
USW00014732,Jul-20,90.5,75.2,82.9,4.74,32.5,24,28.27777778
USW00014732,Aug-20,86.2,73.2,79.7,4.9,30.11111111,22.88888889,26.5
USW00014732,Jun-21,84.1,67.2,75.6,2.44,28.94444444,19.55555556,24.22222222
USW00014732,Jul-21,84.7,70.7,77.7,8.47,29.27777778,21.5,25.38888889
USW00014732,Aug-21,85.5,73.1,79.3,6.91,29.72222222,22.83333333,26.27777778
USW00014732,Jun-22,80,64.5,72.3,3.37,26.66666667,18.05555556,22.38888889
USW00014732,Jul-22,88.8,73.3,81.1,2.69,31.55555556,22.94444444,27.27777778
USW00014732,Aug-22,87.9,73.7,80.8,2.07,31.05555556,23.16666667,27.11111111
USW00014734,Jun-13,82,64.6,73.3,8.74,27.77777778,18.11111111,22.94444444
