"Station_ID","Latitude.x","Longitude.x","Data_Type","Start_Year","End_Year","Latitude.y","Longitude.y"
"AE000041196",25.333,55.517,"TAVG",1944,2023,"25.3330","55.5170"
"AEM00041194",25.255,55.364,"TAVG",1983,2023,"25.2550","55.3640"
"AEM00041217",24.433,54.651,"TAVG",1983,2023,"24.4330","54.6510"
"AEM00041218",24.262,55.609,"TAVG",1994,2023,"24.2620","55.6090"
"AG000060390",36.7167,3.25,"TAVG",1943,2023,"36.7167","3.2500"
"AG000060590",30.5667,2.8667,"TAVG",1957,2023,"30.5667","2.8667"
"AG000060611",28.05,9.6331,"TAVG",1965,2023,"28.0500","9.6331"
"AGE00147708",36.72,4.05,"TAVG",1995,2023,"36.7200","4.0500"
"AGE00147716",35.1,-1.85,"TAVG",1995,2023,"35.1000","-1.8500"
"AGE00147718",34.85,5.72,"TAVG",1943,2023,"34.8500","5.7200"
"AGE00147719",33.7997,2.89,"TAVG",1957,2023,"33.7997","2.8900"
"AGM00060351",36.795,5.874,"TAVG",1981,2023,"36.7950","5.8740"
"AGM00060355",36.933,6.95,"TAVG",1957,2023,"36.9330","6.9500"
"AGM00060360",36.822,7.809,"TAVG",1945,2023,"36.8220","7.8090"
"AGM00060369",36.767,3.1,"TAVG",1943,2023,"36.7670","3.1000"
"AGM00060402",36.712,5.07,"TAVG",1973,2023,"36.7120","5.0700"
"AGM00060403",36.467,7.467,"TAVG",1995,2023,"36.4670","7.4670"
"AGM00060419",36.276,6.62,"TAVG",1943,2023,"36.2760","6.6200"
"AGM00060421",35.867,7.117,"TAVG",1985,2023,"35.8670","7.1170"
"AGM00060423",36.283,7.967,"TAVG",1995,2023,"36.2830","7.9670"
"AGM00060425",36.213,1.332,"TAVG",1943,2023,"36.2130","1.3320"
"AGM00060430",36.3,2.233,"TAVG",1957,2023,"36.3000","2.2330"
"AGM00060437",36.283,2.733,"TAVG",1995,2023,"36.2830","2.7330"
"AGM00060444",36.067,4.767,"TAVG",1979,2023,"36.0670","4.7670"
"AGM00060445",36.178,5.324,"TAVG",1957,2023,"36.1780","5.3240"
